0,1,2,3
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.2,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.4,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.19.5,linux-64
conda-forge,numpy,1.20.0,linux-64
conda-forge,numpy,1.20.0,linux-64
conda-forge,numpy,1.20.0,linux-64
conda-forge,numpy,1.20.0,linux-64
conda-forge,numpy,1.20.1,linux-64
conda-forge,numpy,1.20.1,linux-64
conda-forge,numpy,1.20.1,linux-64
conda-forge,numpy,1.20.1,linux-64
conda-forge,numpy,1.20.2,linux-64
conda-forge,numpy,1.20.2,linux-64
conda-forge,numpy,1.20.2,linux-64
conda-forge,numpy,1.20.2,linux-64
conda-forge,numpy,1.20.3,linux-64
conda-forge,numpy,1.20.3,linux-64
conda-forge,numpy,1.20.3,linux-64
conda-forge,numpy,1.20.3,linux-64
conda-forge,numpy,1.20.3,linux-64
conda-forge,numpy,1.20.3,linux-64
conda-forge,numpy,1.20.3,linux-64
conda-forge,numpy,1.20.3,linux-64
conda-forge,numpy,1.21.0,linux-64
conda-forge,numpy,1.21.0,linux-64
conda-forge,numpy,1.21.0,linux-64
conda-forge,numpy,1.21.0,linux-64
conda-forge,numpy,1.21.1,linux-64
conda-forge,numpy,1.21.1,linux-64
conda-forge,numpy,1.21.1,linux-64
conda-forge,numpy,1.21.1,linux-64
conda-forge,numpy,1.21.2,linux-64
conda-forge,numpy,1.21.2,linux-64
conda-forge,numpy,1.21.2,linux-64
conda-forge,numpy,1.21.2,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.3,linux-64
conda-forge,numpy,1.21.4,linux-64
conda-forge,numpy,1.21.4,linux-64
conda-forge,numpy,1.21.4,linux-64
conda-forge,numpy,1.21.4,linux-64
conda-forge,numpy,1.21.4,linux-64
conda-forge,numpy,1.21.5,linux-64
conda-forge,numpy,1.21.5,linux-64
conda-forge,numpy,1.21.5,linux-64
conda-forge,numpy,1.21.5,linux-64
conda-forge,numpy,1.21.5,linux-64
conda-forge,numpy,1.22.0,linux-64
conda-forge,numpy,1.22.0,linux-64
conda-forge,numpy,1.22.0,linux-64
conda-forge,numpy,1.22.0,linux-64
conda-forge,numpy,1.22.0,linux-64
conda-forge,numpy,1.22.0,linux-64
conda-forge,numpy,1.22.1,linux-64
conda-forge,numpy,1.22.1,linux-64
conda-forge,numpy,1.22.1,linux-64
conda-forge,numpy,1.22.2,linux-64
conda-forge,numpy,1.22.2,linux-64
conda-forge,numpy,1.22.2,linux-64
conda-forge,numpy,1.7.2,linux-64
conda-forge,numpy,1.7.2,linux-64
conda-forge,numpy,1.7.2,linux-64
conda-forge,numpy,1.8.2,linux-64
conda-forge,numpy,1.8.2,linux-64
conda-forge,numpy,1.8.2,linux-64
conda-forge,numpy,1.8.2,linux-64
conda-forge,numpy,1.8.2,linux-64
conda-forge,numpy,1.8.2,linux-64
conda-forge,numpy,1.8.2,linux-64
conda-forge,numpy,1.8.2,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
conda-forge,numpy,1.9.3,linux-64
